realDonaldTrump_tweet,realDonaldTrump_date,JustinTrudeau_tweet,JustinTrudeau_date
MERRY CHRISTMAS!,2019-12-25,La signature de l’accord sur les modifications nous rapproche de la mise en œuvre du nouvel ALENA. J’ai discuté avec le président @lopezobrador_ aujourd’hui de la façon dont le nouvel accord aidera les Canadiens et les Mexicains. Pour en savoir plus :,2019-12-10
"187 new Federal Judges have been confirmed under the Trump Administration, including two great new United States Supreme Court Justices. We are shattering every record! Read all about this in “The Long Game,” a great new book by @senatemajldr Mitch McConnell. Amazing story!",2019-12-24,"Human rights are universal, and protecting & defending them is a shared duty. On #HumanRightsDay, we celebrate the people who dedicate their lives to uplifting others, and reflect on how we can all come together to build a safer, more equal world.",2019-12-10
,2019-12-24,"Les droits de la personne sont universels, et il nous revient à tous de les protéger. En cette #JournéeDesDroitsDelHomme, on célèbre les gens qui consacrent leur vie à améliorer celle des autres et on vise à bâtir ensemble un monde plus sûr et égal.",2019-12-10
,2019-12-24,Community is at the heart of what makes Hanukkah so special – we had an early celebration on Parliament Hill with friends and colleagues tonight. Chag Hanukkah Sameach!,2019-12-10
The ONLY reason we were able to get our great USMCA Trade Deal approved was because the Do Nothing Democrats wanted to show that they could approve something productive in light of the fact that all they even think about is impeachment. She knows nothing about the USMCA Deal!,2019-12-24,"La communauté est au cœur de ce qui rend la Hanoukka une occasion aussi spéciale. Ce soir sur la Colline du Parlement, on a organisé une première célébration entre amis et collègues. Chag Hanukkah Sameach!",2019-12-10
"....the American public’s tone deafness - & it should be intolerable, because the American people have had it with this.” @kilmeade @foxandfriends The Radical Left, Do Nothing Democrats have gone CRAZY. They want to make it as hard as possible for me to properly run our Country!",2019-12-24,"I spoke with @POTUS this evening about the continued progress made on the new NAFTA, and the jobs &amp; opportunities it will create for people on both sides of the border.",2019-12-10
"“The Trump Administration, Trump policies, have put our economy on a trajectory it has never been on before.” Griff Jenkins, @foxandfriends",2019-12-24,"Ce soir, j'ai discuté avec le @POTUS des progrès réalisés en ce qui concerne le nouvel ALENA ainsi que des emplois et des opportunités que l'Accord permettra de créer pour les gens des deux côtés de la frontière.",2019-12-10
“Stocks kick off Christmas week at All-Time Record Highs.” @foxandfriends,2019-12-24,"Mark Carney is another strong Canadian voice calling for international climate action. Today in Ottawa, I congratulated him on his new role as @UN Special Envoy on Climate Action &amp; Finance, and discussed his important work to fight climate change &amp; strengthen the global economy.",2019-12-09
"....mount some kind of public pressure to demand witnesses, but McConnell has the votes and he can run this trial anyway he wants to. @brithume @foxandfriends",2019-12-24,"Mark Carney, envoyé spécial d’@ONU_fr pour le climat et la finance, est un autre Canadien qui réclame haut et fort une action internationale pour le climat. Aujourd’hui à Ottawa, on a parlé du travail important qu’il fait pour mener cette lutte et renforcer l’économie mondiale.",2019-12-09
"Everything we’re seeing from Speaker Pelosi and Senator Schumer suggests that they’re in real doubt about the evidence they’ve brought forth so far not being good enough, and are very, very urgently seeking a way to find some more evidence. The only way to make this work is to..",2019-12-24,I spoke with Premier @BlaineHiggs this morning – we focused on issues that matter to New Brunswickers. Read more about our call:,2019-12-09
“The real victims here are the American people and the Constitution. The Constitution has been damaged by this ploy being used by Nancy Pelosi. This is a very bad time for the United States Constitution.” @AlanDersh,2019-12-24,"Ce matin, j’ai discuté avec le premier ministre @BlaineHiggs des sujets qui sont importants pour les Néo-Brunswickois. Pour en savoir plus :",2019-12-09
"What the Democrats are doing is “Obstruction of the Senate. It’s wrong Constitutionally, it’s wrong morally, and it’s wrong politically.” @AlanDersh @seanhannity @dbongino l agree, and so does the public!",2019-12-24,"What a year for @Bandreescu_! Congrats on your Lou Marsh Award win, Bianca – it’s well-deserved and we’re so proud of you. ",2019-12-09
